"aucSeCode","aucSeNm","catgoryCode","catgoryNewCode","catgoryNewNm","catgoryNm","cprInsttCode","cprInsttNewCode","cprMtcCode","cprUsePrdlstCode","cprUsePrdlstNm","delngDe","delngPrut","delngQy","insttNewNm","insttNm","ledgNo","rnum","sbidPric","shipmntSeCode","shipmntSeNm","sleSeqn","stdFrmlcNewCode","stdFrmlcNewNm","stdMgNewCode","stdMgNewNm","stdPrdlstCode","stdPrdlstNewCode","stdPrdlstNewNm","stdPrdlstNm","stdQlityNewCode","stdQlityNewNm","stdSpciesCode","stdSpciesNewCode","stdSpciesNewNm","stdSpciesNm","stdUnitNewCode","stdUnitNewNm","whsalMrktCode","whsalMrktNewCode","whsalMrktNewNm","whsalMrktNm","numOfRows","pageNo","totalCount"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","1","대전중앙청과","대전중앙청과","3175010","1","16000","5","수입","2162","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","2","대전중앙청과","대전중앙청과","3175010","2","16000","5","수입","2211","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","2","대전중앙청과","대전중앙청과","3175010","3","16000","5","수입","2212","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","4","대전중앙청과","대전중앙청과","3175010","4","16000","5","수입","2213","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","1","대전중앙청과","대전중앙청과","3175010","5","16000","5","수입","2214","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","1","대전중앙청과","대전중앙청과","3175010","6","16000","5","수입","2215","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","4","대전중앙청과","대전중앙청과","3175010","7","16000","5","수입","2216","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","6","대전중앙청과","대전중앙청과","3175010","8","16000","5","수입","2217","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","4","대전중앙청과","대전중앙청과","3175010","9","16000","5","수입","2493","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
"2","정가수의","06","06","과실류","과실류","25000301","6034103","800PHL","1-0501-80","바나나","12/3/2015","13","3","대전중앙청과","대전중앙청과","3175010","10","16000","5","수입","2494","101","상자","1ZZ","기타","0612","0612","바나나","바나나","1Z","무등급","061298","061298","바나나(수입)","바나나(수입)","12","kg","250003","1034101","대전노은농수산물도매시장","대전노은도매시장","10","1","2477"
